@relation './ada_train-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R8,23,17,30,36,9-10,16,42,46,41,40,32,27,44,15,25,49-weka.filters.unsupervised.attribute.Remove-V-R16,13-15,18'

@attribute attr14 {'\'(-inf-155.7]\'','\'(155.7-249.4]\'','\'(249.4-343.1]\'','\'(343.1-436.8]\'','\'(436.8-530.5]\'','\'(530.5-624.2]\'','\'(624.2-717.9]\'','\'(717.9-811.6]\'','\'(811.6-905.3]\'','\'(905.3-inf)\''}
@attribute attr31 {'\'(-inf-99.9]\'','\'(99.9-199.8]\'','\'(199.8-299.7]\'','\'(299.7-399.6]\'','\'(399.6-499.5]\'','\'(499.5-599.4]\'','\'(599.4-699.3]\'','\'(699.3-799.2]\'','\'(799.2-899.1]\'','\'(899.1-inf)\''}
@attribute attr26 {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute attr43 {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute CLASS {0,1}

@data
'\'(436.8-530.5]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(343.1-436.8]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(717.9-811.6]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(905.3-inf)\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(343.1-436.8]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(717.9-811.6]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(343.1-436.8]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(905.3-inf)\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(343.1-436.8]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(905.3-inf)\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(717.9-811.6]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(249.4-343.1]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(-inf-155.7]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(249.4-343.1]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(717.9-811.6]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(905.3-inf)\'','\'(99.9-199.8]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(343.1-436.8]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(-inf-155.7]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(-inf-155.7]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(249.4-343.1]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(717.9-811.6]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',1
'\'(530.5-624.2]\'','\'(99.9-199.8]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(249.4-343.1]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(99.9-199.8]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(155.7-249.4]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(249.4-343.1]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(717.9-811.6]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(343.1-436.8]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(624.2-717.9]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(717.9-811.6]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(199.8-299.7]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(905.3-inf)\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(905.3-inf)\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(624.2-717.9]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(155.7-249.4]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(249.4-343.1]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(717.9-811.6]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(624.2-717.9]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(249.4-343.1]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(249.4-343.1]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(717.9-811.6]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',1
'\'(436.8-530.5]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(343.1-436.8]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(717.9-811.6]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(436.8-530.5]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',1
'\'(436.8-530.5]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(343.1-436.8]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(436.8-530.5]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(249.4-343.1]\'','\'(-inf-99.9]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
'\'(436.8-530.5]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(99.9-199.8]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-99.9]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'',0
