@relation './ada_train-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R40,7,15,32,25,27,31,44,49-weka.filters.unsupervised.attribute.Remove-V-R3,8-9'

@attribute attr14 {'\'(-inf-155.7]\'','\'(155.7-249.4]\'','\'(249.4-343.1]\'','\'(343.1-436.8]\'','\'(436.8-530.5]\'','\'(530.5-624.2]\'','\'(624.2-717.9]\'','\'(717.9-811.6]\'','\'(811.6-905.3]\'','\'(905.3-inf)\''}
@attribute attr43 {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute CLASS {0,1}

@data
'\'(343.1-436.8]\'','\'(0.9-inf)\'',0
'\'(624.2-717.9]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(436.8-530.5]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(343.1-436.8]\'','\'(-inf-0.1]\'',0
'\'(343.1-436.8]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(-inf-155.7]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(343.1-436.8]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(905.3-inf)\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(249.4-343.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(155.7-249.4]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(624.2-717.9]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(624.2-717.9]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(0.9-inf)\'',0
'\'(-inf-155.7]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(905.3-inf)\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(249.4-343.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(343.1-436.8]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(717.9-811.6]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(717.9-811.6]\'','\'(-inf-0.1]\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',1
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(249.4-343.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(0.9-inf)\'',0
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(343.1-436.8]\'','\'(0.9-inf)\'',0
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(717.9-811.6]\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(0.9-inf)\'',0
'\'(905.3-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(249.4-343.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(249.4-343.1]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(343.1-436.8]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',1
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(249.4-343.1]\'','\'(0.9-inf)\'',0
'\'(436.8-530.5]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(-inf-155.7]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(343.1-436.8]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(343.1-436.8]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(343.1-436.8]\'','\'(0.9-inf)\'',0
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(717.9-811.6]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(436.8-530.5]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(905.3-inf)\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(717.9-811.6]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(905.3-inf)\'','\'(-inf-0.1]\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',0
'\'(343.1-436.8]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(-inf-155.7]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(905.3-inf)\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(905.3-inf)\'','\'(0.9-inf)\'',1
'\'(155.7-249.4]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(0.9-inf)\'',0
'\'(249.4-343.1]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(624.2-717.9]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(155.7-249.4]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(343.1-436.8]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',1
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(-inf-155.7]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(343.1-436.8]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(717.9-811.6]\'','\'(-inf-0.1]\'',0
'\'(249.4-343.1]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(343.1-436.8]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',1
'\'(717.9-811.6]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(717.9-811.6]\'','\'(0.9-inf)\'',1
'\'(717.9-811.6]\'','\'(-inf-0.1]\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(249.4-343.1]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',0
'\'(905.3-inf)\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(436.8-530.5]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(717.9-811.6]\'','\'(0.9-inf)\'',1
'\'(905.3-inf)\'','\'(0.9-inf)\'',1
'\'(436.8-530.5]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(249.4-343.1]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(436.8-530.5]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(905.3-inf)\'','\'(0.9-inf)\'',1
'\'(436.8-530.5]\'','\'(0.9-inf)\'',1
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(249.4-343.1]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(811.6-905.3]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',1
'\'(530.5-624.2]\'','\'(0.9-inf)\'',0
'\'(717.9-811.6]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(811.6-905.3]\'','\'(-inf-0.1]\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(905.3-inf)\'','\'(-inf-0.1]\'',1
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(0.9-inf)\'',0
'\'(530.5-624.2]\'','\'(-inf-0.1]\'',0
'\'(624.2-717.9]\'','\'(-inf-0.1]\'',0
