@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R17,7,13,12,8,23'

@attribute veil-color {n,o,w,y}
@attribute gill-spacing {c,d,w}
@attribute stalk-surface-below-ring {f,k,s,y}
@attribute stalk-surface-above-ring {f,k,s,y}
@attribute gill-size {b,n}
@attribute class {e,p}

@data
w,w,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,c,y,s,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,s,s,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,y,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,n,e
w,c,s,s,n,e
w,c,s,s,n,e
w,c,s,s,b,e
w,c,s,s,n,e
w,w,f,s,b,e
w,c,y,s,b,e
w,c,y,s,b,e
w,c,y,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,y,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,c,s,s,n,p
w,w,s,s,b,e
w,w,s,s,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,w,s,s,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,c,y,s,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,w,f,f,b,e
w,c,y,s,b,e
w,w,f,f,b,e
w,w,f,f,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,c,s,s,n,p
w,c,s,s,n,p
w,w,f,s,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,n,p
w,c,s,s,n,p
w,w,s,f,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,c,s,s,n,p
w,c,s,s,n,p
w,c,s,s,n,p
w,w,f,f,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,w,s,s,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,c,s,s,n,p
w,c,s,s,n,p
w,w,s,f,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,y,s,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,s,s,b,e
w,w,f,s,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,f,f,b,e
w,w,f,f,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,w,s,f,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,w,s,s,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,n,p
w,w,f,s,b,e
w,w,s,s,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,c,s,s,n,p
w,w,s,s,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,c,y,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,c,y,s,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,n,p
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,c,s,s,n,p
w,c,s,s,n,p
w,w,f,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,w,s,s,n,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,n,e
w,w,s,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,w,s,s,b,e
w,w,f,s,b,e
w,w,f,f,b,e
w,w,f,f,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,c,y,s,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,w,s,s,n,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,n,p
w,w,s,s,b,e
w,c,s,s,n,p
w,w,s,s,b,e
w,w,f,f,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,w,s,s,b,e
w,c,s,s,n,p
w,w,s,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,c,y,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,w,s,s,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,c,s,s,n,p
w,w,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,s,f,b,e
w,c,y,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,f,f,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,s,f,b,e
w,c,y,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,c,s,s,n,e
w,c,s,s,n,p
w,c,s,s,n,p
w,c,s,s,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,n,p
w,c,s,s,n,p
w,w,f,s,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,c,s,s,n,p
w,c,s,s,n,p
w,w,f,f,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,b,e
w,c,y,s,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,y,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,c,s,s,n,p
w,w,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,w,s,f,b,e
w,c,y,s,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,w,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,w,f,f,b,e
w,c,y,s,b,e
w,c,s,s,n,p
w,w,s,s,b,e
w,c,s,s,n,e
w,c,s,s,n,p
w,w,f,s,b,e
w,w,f,f,b,e
w,c,y,s,b,e
w,w,f,f,b,e
w,w,f,f,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,y,s,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,c,s,s,n,p
w,w,s,s,b,e
w,c,s,s,n,e
w,w,f,f,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,w,f,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,k,k,b,p
w,w,s,f,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,f,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,n,e
w,c,s,s,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,n,e
w,w,f,f,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,s,f,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,c,y,s,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,w,s,s,n,e
w,w,s,s,b,e
w,w,s,f,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,n,p
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,f,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,c,y,s,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,w,f,f,b,e
w,c,s,s,n,p
w,w,f,f,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,w,s,f,b,e
w,w,s,s,n,e
w,w,s,s,n,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,s,f,b,e
w,w,f,f,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,c,y,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,w,s,f,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,w,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,n,p
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,k,k,b,p
w,c,s,s,n,p
w,c,s,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,k,k,b,p
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,n,p
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,k,k,b,p
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,f,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,f,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,w,s,s,n,p
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,n,p
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
w,c,s,s,b,e
