@relation './gisette-weka.filters.unsupervised.attribute.Remove-V-R3003,4272,512,4196,3657,3976,558,5001-weka.filters.unsupervised.attribute.Remove-V-R5,8'

@attribute attr3656 {0,1,2,3,4,5,6,7,8,9}
@attribute CLASS {0,1}

@data
9,0
9,0
9,0
0,1
7,1
0,1
9,0
0,1
9,0
0,1
7,0
0,1
9,0
0,1
0,0
9,0
7,0
0,1
9,0
7,0
0,1
0,1
0,1
9,0
5,1
0,1
0,1
0,1
9,0
9,0
9,0
9,0
0,1
0,1
0,1
5,1
0,1
0,1
9,1
9,0
0,1
0,1
9,0
9,0
0,1
0,1
0,1
9,0
9,0
0,1
7,1
9,1
0,1
0,1
0,1
9,1
9,0
7,0
0,1
0,1
0,1
9,0
0,1
0,1
0,1
9,0
0,1
9,0
9,0
0,1
7,0
9,0
9,0
0,1
0,0
0,1
6,0
0,1
0,1
5,1
9,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
9,0
9,0
0,1
0,1
0,1
0,0
9,0
0,1
0,0
0,1
9,0
9,0
5,0
0,1
0,1
0,1
9,0
9,0
5,0
0,0
0,0
5,0
7,1
5,0
0,0
8,1
0,1
9,0
0,1
0,1
9,0
0,1
9,1
9,0
0,0
0,1
7,0
9,1
0,0
0,0
0,1
8,0
0,1
0,1
9,1
0,1
7,0
9,0
9,0
0,1
0,0
9,0
0,1
9,1
0,0
9,0
0,1
0,1
9,0
0,1
9,1
8,1
8,0
0,1
9,0
0,1
8,0
9,0
0,0
0,1
9,0
7,1
9,0
9,0
8,0
0,1
0,0
0,1
9,0
0,0
9,0
0,1
9,0
9,0
9,0
9,0
9,0
9,0
9,1
0,1
0,1
0,1
9,0
5,1
8,0
7,0
8,0
9,0
0,1
9,1
9,0
9,0
0,1
0,1
0,0
0,1
0,1
0,1
9,0
0,1
0,1
0,1
9,0
0,0
9,0
0,1
9,0
9,0
9,0
9,0
0,0
0,1
5,1
0,1
9,0
0,1
0,0
9,0
0,1
9,0
7,1
0,1
0,0
0,1
0,1
6,0
0,1
0,1
9,0
9,0
0,0
8,0
9,0
9,0
0,1
7,0
0,1
0,1
9,0
0,0
9,0
0,1
0,1
0,0
7,0
0,1
9,0
0,0
0,1
9,0
9,0
0,1
0,1
0,1
0,0
0,1
9,1
9,0
9,0
0,1
9,0
0,1
9,0
0,1
9,0
0,1
0,0
9,0
0,1
9,0
9,0
9,0
9,0
0,1
9,0
9,1
0,1
0,1
0,0
0,0
0,1
0,1
0,1
0,1
5,0
0,1
0,1
9,1
0,1
0,1
0,1
0,1
0,1
6,0
0,1
9,0
0,1
0,0
0,0
0,1
9,0
0,1
9,0
0,1
9,1
0,0
9,0
6,0
0,1
9,0
8,0
8,1
9,0
0,0
9,0
0,1
9,0
9,0
7,0
0,1
9,0
9,1
0,1
9,0
9,0
0,1
0,1
9,0
9,1
5,0
9,0
9,1
0,1
9,0
9,0
0,1
0,1
0,1
9,0
7,0
9,0
7,1
0,0
0,0
9,0
0,1
0,1
0,1
5,0
0,1
9,0
0,1
0,1
9,0
9,0
9,1
0,1
0,0
0,1
0,1
9,0
0,1
0,1
9,0
0,1
8,0
9,0
0,0
9,0
0,1
0,1
0,1
0,1
0,1
0,1
8,0
0,0
9,0
9,0
7,0
0,0
0,0
9,0
9,0
9,0
0,1
9,0
0,1
9,0
5,0
0,1
9,0
9,0
7,0
0,1
0,1
9,0
0,1
0,0
0,0
0,1
5,0
9,0
9,0
9,0
0,1
9,0
9,0
9,0
0,1
0,1
0,1
6,0
0,1
9,0
6,1
7,0
9,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
9,1
0,1
9,0
9,0
9,0
0,1
0,0
0,1
6,0
0,1
9,0
0,0
9,0
8,0
0,1
0,1
0,1
0,1
0,1
9,1
0,1
9,0
0,0
9,0
9,0
0,1
0,1
7,0
6,0
0,1
0,0
9,0
5,0
9,1
9,0
9,0
0,1
0,0
0,1
0,1
9,0
9,0
9,1
9,0
9,0
5,0
0,1
0,1
9,0
0,0
9,0
0,1
8,0
9,0
0,1
0,1
0,0
9,0
0,1
9,0
0,1
0,1
9,0
6,0
9,0
0,1
0,1
0,1
9,0
9,0
0,1
0,1
0,1
0,1
0,0
8,0
9,0
0,1
0,1
9,0
0,1
9,0
0,1
6,1
9,1
0,1
9,0
9,0
0,1
0,0
0,1
0,1
0,1
0,0
0,1
0,1
7,0
6,1
9,0
9,0
0,1
8,0
0,0
9,0
0,1
0,0
9,0
0,0
0,1
9,0
9,1
9,0
8,0
0,1
9,0
9,0
0,1
0,1
0,1
6,0
0,1
0,1
0,1
8,0
0,1
0,1
9,0
8,0
5,0
0,1
9,1
9,0
7,0
0,1
9,0
0,1
0,0
9,0
9,0
9,1
5,0
0,1
0,1
8,0
9,0
0,1
0,1
7,0
7,0
6,1
0,1
9,1
0,0
6,1
7,0
0,1
0,1
0,1
0,1
9,1
9,0
0,1
0,0
9,0
9,0
0,0
0,1
0,1
0,1
0,1
0,1
0,1
9,0
0,1
0,1
9,0
0,1
0,1
9,0
0,1
0,1
9,0
9,0
8,0
0,1
9,0
9,0
5,0
0,1
9,0
9,0
7,0
5,0
0,1
0,1
0,0
9,0
9,1
0,1
0,1
0,1
9,0
0,1
9,0
9,0
0,1
0,1
9,0
0,1
0,1
0,1
0,0
9,0
9,0
0,1
0,1
5,0
0,1
9,0
8,0
9,1
0,1
9,1
6,1
9,0
0,1
9,0
9,0
7,0
0,1
9,0
0,1
0,1
9,0
0,0
0,1
0,0
0,1
9,0
5,0
0,1
0,1
0,1
0,1
9,0
9,0
0,1
9,0
0,0
9,0
0,1
9,0
0,0
0,0
6,0
0,1
9,0
0,1
5,0
0,1
0,0
9,0
0,1
8,0
0,1
9,0
9,0
9,0
0,1
0,1
0,1
0,1
0,1
0,1
9,0
0,1
0,1
0,0
0,1
9,0
0,1
0,0
5,0
0,0
5,1
9,0
0,1
0,0
0,0
9,0
0,1
0,1
0,1
0,1
9,0
0,1
9,1
9,0
9,0
9,0
8,1
9,0
0,1
9,0
9,0
0,1
0,1
0,1
0,1
7,0
9,0
0,0
9,0
9,0
0,0
0,1
0,1
0,1
0,0
9,0
0,1
9,0
9,0
0,0
0,1
9,0
0,1
9,0
8,0
0,1
9,0
0,1
0,1
8,0
9,0
9,0
0,1
0,1
9,0
0,1
0,1
9,0
9,0
0,1
9,0
0,1
9,0
0,1
9,0
0,1
0,1
9,0
0,1
0,1
0,1
9,0
0,1
0,0
0,1
5,0
0,1
8,0
9,0
0,1
0,1
9,0
0,1
0,1
0,1
0,0
9,0
9,0
0,0
0,1
0,0
0,1
0,1
9,0
9,0
0,1
0,1
0,1
7,0
0,1
0,1
0,1
0,1
0,0
9,0
9,0
9,0
0,1
9,0
0,1
6,0
0,1
9,0
8,1
0,1
0,1
0,1
0,1
9,0
9,0
9,0
8,0
0,0
0,1
0,1
9,0
0,0
0,1
0,1
0,1
9,0
0,1
0,1
9,0
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
9,0
5,0
0,1
0,1
9,1
0,1
9,0
9,0
9,0
0,0
0,0
0,0
9,0
0,1
0,1
0,1
0,1
0,1
6,0
9,0
9,0
0,1
9,0
0,1
0,1
0,1
9,0
0,0
9,0
0,1
0,1
0,1
9,0
9,0
9,0
0,1
7,0
0,1
6,0
9,0
0,0
9,0
0,0
9,0
9,0
0,1
0,1
7,1
0,1
6,0
0,1
9,0
0,1
0,1
9,0
9,0
0,1
0,1
0,1
0,1
5,0
9,0
9,0
0,1
0,1
6,0
0,1
9,0
0,0
0,1
8,0
0,0
0,0
9,0
0,1
0,1
9,1
0,1
0,1
0,1
0,1
5,0
0,1
9,0
0,1
0,1
6,0
0,1
6,0
9,0
0,1
0,1
0,1
9,0
9,0
7,0
0,1
9,0
0,1
0,1
9,1
9,0
0,1
9,0
9,1
9,0
0,1
0,1
0,1
9,0
9,0
0,1
0,1
8,0
9,1
9,0
0,1
0,1
0,1
9,0
0,1
9,0
9,0
0,1
0,0
0,0
9,0
9,0
0,1
5,1
6,0
0,0
9,0
0,0
9,1
9,0
0,1
9,0
9,0
0,0
0,1
0,1
0,1
0,1
0,1
0,0
9,0
0,1
9,1
9,0
5,1
0,1
0,1
0,1
0,1
9,0
0,1
9,0
0,1
9,0
0,0
0,1
0,1
0,1
0,1
0,1
5,1
9,0
5,0
9,0
0,1
9,0
9,0
9,0
9,0
0,1
0,0
0,0
9,0
0,1
0,1
0,1
8,0
6,1
0,1
0,0
0,1
6,0
0,0
0,1
0,1
0,1
9,0
7,0
9,0
9,0
0,0
9,0
0,1
9,0
9,0
5,0
7,0
9,0
0,1
0,1
9,0
0,1
9,0
0,1
0,1
9,0
0,1
0,1
0,1
6,1
6,0
9,1
0,1
0,1
8,0
0,1
7,1
9,0
9,1
9,0
0,1
7,0
0,1
9,0
0,0
8,0
0,1
0,1
9,0
8,0
0,1
7,0
0,0
0,1
8,0
9,0
0,1
6,1
9,0
9,0
0,1
9,0
9,0
9,0
0,1
9,0
0,1
0,1
9,0
9,0
8,0
9,0
0,1
9,0
0,1
9,0
0,1
0,0
0,1
9,0
8,0
0,1
0,1
9,0
8,0
9,0
0,1
0,1
0,1
9,0
8,0
9,0
0,1
0,1
5,1
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
9,0
0,1
7,0
7,0
9,0
0,1
0,1
0,1
0,1
9,0
9,0
0,1
0,1
9,1
9,0
9,0
9,0
0,1
9,0
9,0
9,0
9,0
0,0
0,0
0,1
8,0
9,1
0,1
0,1
0,1
0,1
0,1
9,0
0,1
9,0
9,0
0,1
0,1
6,0
9,0
9,1
0,1
0,1
8,0
0,1
6,0
8,0
0,1
0,1
5,0
9,0
0,1
8,0
9,0
9,0
5,0
0,1
0,0
8,0
0,1
7,1
0,1
9,0
0,1
9,0
0,1
6,0
0,1
9,0
0,1
0,1
0,1
9,0
0,0
9,1
9,0
0,1
9,0
0,1
9,0
0,1
0,1
9,0
9,0
5,1
9,1
9,1
9,0
0,1
0,1
8,0
0,1
0,0
0,1
5,0
9,0
0,0
9,0
0,1
9,0
9,0
9,0
0,1
5,0
9,0
6,0
0,0
0,1
9,0
7,0
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,1
9,0
0,0
9,0
0,1
0,1
0,0
0,1
7,0
0,1
9,0
0,1
0,1
0,1
0,1
7,0
9,0
9,0
6,0
9,0
9,0
0,1
5,0
7,1
0,1
0,1
9,1
0,1
9,0
9,1
9,0
9,0
0,1
0,1
9,1
0,0
0,1
8,0
0,1
9,1
0,1
9,0
9,0
0,1
9,0
9,0
9,0
9,0
0,1
0,1
0,1
8,1
0,1
0,1
0,1
7,0
0,1
0,1
8,0
9,1
0,1
9,1
0,0
8,0
9,0
0,1
0,1
6,0
0,1
9,1
0,1
9,0
0,1
0,1
0,1
0,1
0,1
0,1
9,0
0,1
9,0
0,1
0,1
7,0
0,1
9,0
0,0
9,1
9,0
9,1
0,1
0,0
0,1
0,1
9,0
8,0
0,1
9,0
8,0
0,1
0,1
8,1
6,0
9,0
0,0
8,1
0,1
9,0
6,0
9,0
9,1
0,1
9,1
9,0
0,0
0,0
0,1
0,1
0,1
9,0
9,1
0,1
0,1
0,1
0,1
7,0
9,0
9,0
9,0
9,0
9,0
0,1
9,0
9,0
9,1
6,1
9,0
0,1
0,1
9,0
0,1
9,0
9,0
9,1
0,1
9,0
9,0
0,1
9,0
9,0
0,1
0,1
0,1
9,1
0,1
0,1
9,0
0,1
7,0
0,1
9,0
0,1
0,1
0,1
0,1
5,0
6,0
0,1
9,0
0,0
0,0
9,0
9,0
0,0
0,0
6,1
0,0
9,1
0,1
9,0
0,0
9,1
5,0
0,1
9,0
0,1
0,1
5,1
0,1
9,0
9,0
6,0
0,0
9,0
9,0
0,1
7,0
0,1
5,0
5,0
0,1
9,0
0,1
0,1
0,0
0,1
9,0
0,1
0,1
0,0
0,1
9,0
0,1
0,1
0,1
9,0
9,0
9,0
9,1
8,1
9,0
0,1
9,0
9,1
0,1
0,1
0,0
9,0
9,0
0,1
9,1
9,0
9,1
6,0
0,0
9,0
0,1
0,1
9,0
9,1
0,1
0,1
9,0
9,0
9,0
0,1
0,1
0,1
6,0
0,1
6,0
9,1
9,0
0,1
0,1
6,0
0,1
0,1
8,1
0,1
0,0
0,1
9,0
9,1
0,1
9,0
0,1
9,0
9,0
0,1
9,0
0,1
9,0
0,1
0,1
8,1
0,0
9,0
9,1
6,0
0,1
9,0
9,0
0,1
9,0
9,0
9,0
0,1
0,0
9,0
9,1
0,1
0,1
7,0
8,0
9,0
9,0
9,0
0,0
0,0
0,1
9,0
9,0
0,1
0,1
0,0
9,0
6,0
9,1
0,1
0,1
0,1
5,0
0,1
7,0
0,0
0,1
0,1
0,0
0,1
8,1
0,1
0,1
9,1
0,1
9,0
0,1
0,1
9,0
9,0
6,1
0,1
8,1
0,1
0,1
0,1
9,1
9,1
6,0
0,0
8,1
7,0
9,0
9,1
9,1
7,0
9,0
0,1
0,1
9,0
0,1
9,0
9,0
0,1
0,1
9,0
0,0
7,0
0,1
9,0
9,0
0,1
6,1
6,0
0,1
9,1
9,0
0,1
0,1
8,1
0,1
9,0
0,1
0,0
0,1
9,0
0,0
0,1
0,1
9,0
9,0
0,1
0,1
9,0
0,1
8,0
7,0
9,0
0,1
6,0
9,0
5,0
9,0
9,0
9,0
0,1
0,0
5,0
9,0
0,1
7,0
0,1
9,0
0,0
0,1
9,0
0,1
8,0
0,1
9,0
0,1
0,1
0,1
0,1
9,0
0,1
9,0
5,0
0,0
9,0
0,0
0,1
0,1
9,0
0,1
0,1
0,0
0,0
0,1
9,1
9,1
9,0
9,0
0,0
0,1
0,1
0,0
0,1
0,1
0,1
0,1
9,0
9,0
9,0
0,0
9,0
9,0
0,1
0,1
9,0
8,0
6,0
9,0
9,0
9,0
0,1
0,1
0,1
0,0
9,0
8,0
0,0
0,0
0,1
0,1
5,0
9,0
9,0
0,1
0,1
0,0
0,1
0,1
0,0
0,1
0,1
0,1
9,0
0,0
9,0
0,1
0,1
9,0
0,1
0,1
0,1
9,0
5,1
0,1
9,0
0,0
9,0
0,0
0,1
5,0
0,1
0,1
8,0
9,0
0,1
0,1
9,0
9,0
9,0
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
5,0
0,1
9,0
9,0
9,0
0,1
0,1
0,0
0,1
8,0
0,1
0,0
9,0
0,1
6,0
0,1
9,1
9,0
9,1
0,1
9,1
9,0
9,0
0,1
0,1
0,0
0,1
9,1
0,1
6,0
0,1
0,1
9,0
9,0
9,1
7,0
9,0
9,1
0,1
8,0
0,1
0,1
6,0
0,1
0,1
5,0
0,1
8,0
0,0
9,0
0,1
0,1
0,1
9,0
9,0
0,1
0,1
0,1
9,0
0,1
0,1
9,0
0,1
0,1
9,0
9,1
0,1
0,1
0,1
0,1
5,1
8,0
9,0
0,0
0,1
0,1
0,0
0,1
9,0
0,1
6,0
0,1
0,0
0,1
9,0
9,1
0,1
6,0
0,1
9,1
9,0
0,1
0,1
0,0
0,1
9,0
8,0
0,1
9,0
0,1
9,0
0,1
8,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
9,0
9,0
9,0
9,0
9,1
6,0
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,1
0,0
0,1
0,1
9,0
0,1
6,0
8,0
0,1
9,0
9,1
0,1
9,0
0,1
0,1
0,1
9,0
9,0
0,0
6,0
0,0
0,1
8,0
9,0
6,0
9,0
9,0
9,0
9,0
0,0
0,0
0,1
0,1
0,1
6,0
0,0
9,1
0,1
0,1
9,1
0,0
0,0
0,1
9,0
0,1
9,0
9,0
9,0
6,0
0,1
9,0
8,0
6,0
0,1
9,0
0,1
0,1
9,0
0,1
9,0
0,1
6,0
0,1
9,0
0,1
9,0
0,1
0,1
0,1
9,0
0,0
9,0
0,0
9,0
0,0
9,0
0,1
6,0
0,1
9,0
0,1
9,0
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
9,0
0,1
0,1
0,1
0,1
0,1
9,0
5,1
0,0
9,0
0,1
0,1
0,1
7,1
9,0
9,0
0,1
0,1
0,1
9,1
8,0
9,1
9,0
0,1
0,1
0,0
5,0
8,0
9,0
0,1
9,0
0,1
0,0
9,0
0,1
9,1
9,0
9,0
9,0
0,1
9,0
9,1
9,0
0,1
0,1
0,1
9,0
0,0
9,1
0,0
9,0
9,0
9,0
0,1
0,1
8,0
5,0
9,0
6,0
9,0
0,0
0,0
9,0
0,1
0,0
0,1
9,0
9,0
9,0
5,0
9,0
0,1
0,1
0,1
6,0
9,0
9,1
9,0
9,0
0,1
0,1
0,1
0,1
0,1
0,1
9,0
0,1
0,1
9,0
0,1
6,0
9,0
9,0
9,0
0,0
0,1
0,0
0,1
9,0
9,0
0,1
0,1
0,1
6,0
0,1
9,0
0,1
0,1
0,1
8,0
0,0
0,1
0,1
7,0
9,0
0,1
0,1
0,1
0,0
0,1
0,1
9,0
0,1
0,1
0,1
0,0
0,1
8,1
0,1
8,0
0,0
9,0
0,0
8,0
0,1
7,0
0,1
9,1
9,0
0,1
5,0
0,1
9,0
8,0
0,1
0,1
0,0
0,1
9,0
0,0
0,0
0,1
0,1
0,0
9,0
5,0
0,1
9,1
0,1
0,1
9,0
0,0
0,1
9,0
7,0
9,0
0,1
9,0
0,1
9,0
0,1
9,0
9,0
0,1
8,0
9,0
9,0
0,1
0,1
0,1
0,0
7,0
0,1
0,1
9,0
0,0
5,0
0,0
0,1
9,0
0,1
0,1
9,0
9,0
0,1
0,1
0,1
0,1
0,1
0,1
9,0
0,1
9,0
0,1
0,1
0,1
9,1
7,0
9,0
0,1
0,1
0,1
0,1
9,1
0,1
0,1
9,0
0,1
0,0
7,0
0,1
9,0
0,1
0,0
9,0
0,0
0,1
0,1
7,0
0,1
0,1
0,1
0,1
0,1
9,0
0,1
0,1
0,1
5,0
0,1
0,1
6,0
0,1
0,0
0,1
5,0
9,0
0,1
9,0
9,0
9,0
7,0
0,1
0,1
9,0
0,1
8,0
9,0
6,0
8,0
0,1
9,0
0,0
0,1
0,1
0,0
6,0
0,1
0,1
0,1
0,0
9,1
0,1
0,1
9,0
9,0
0,1
9,0
9,1
0,0
9,0
9,0
9,0
8,0
0,1
0,1
9,0
9,0
0,1
0,1
9,0
9,0
0,1
0,1
6,0
0,1
9,1
6,0
9,0
9,0
0,1
0,1
0,1
9,0
9,0
6,1
0,1
9,0
0,1
0,1
9,0
7,1
0,1
0,1
9,0
0,1
7,0
0,1
0,1
0,1
8,0
0,1
0,1
0,0
9,0
8,0
0,1
0,0
0,1
9,0
9,0
8,1
0,1
0,1
0,1
9,0
0,0
0,1
0,1
0,1
0,0
9,1
0,1
9,0
7,0
0,1
0,0
8,0
9,0
0,1
9,0
5,0
0,1
9,0
0,1
0,0
9,0
0,1
0,0
9,0
0,1
0,1
6,0
9,1
5,0
0,1
0,1
9,1
0,0
9,0
0,1
9,0
0,1
7,0
0,1
0,1
7,0
0,1
9,0
0,1
9,0
0,1
9,0
5,0
0,1
0,0
9,0
7,0
0,1
9,0
0,1
0,1
9,0
9,0
0,1
9,0
0,1
9,0
0,1
9,0
0,0
0,1
0,1
0,0
0,0
9,0
0,1
9,0
0,0
7,0
0,1
0,1
0,1
6,1
9,0
0,1
0,1
0,0
0,1
9,0
6,0
0,1
9,1
5,0
9,1
0,1
0,0
9,0
9,0
6,0
0,1
0,1
0,1
9,0
9,0
9,0
0,0
6,0
9,0
0,1
6,0
9,0
0,1
9,0
0,1
9,0
9,0
0,0
0,1
9,1
0,1
0,0
9,0
9,1
0,1
0,1
9,0
0,1
0,1
0,1
0,1
9,0
0,1
9,0
8,0
0,1
0,1
0,1
0,0
9,0
9,1
0,1
0,1
9,0
7,0
9,0
0,0
9,0
0,1
0,0
0,1
0,1
0,1
0,1
9,0
0,0
0,0
0,1
9,0
9,0
8,1
0,1
9,1
0,1
0,1
9,1
0,1
9,0
7,0
0,1
9,0
0,1
0,1
0,1
9,0
9,0
8,0
9,0
8,0
6,0
0,1
0,1
9,0
0,1
9,1
0,1
0,1
9,1
0,1
5,0
9,0
9,0
0,1
0,1
0,1
9,0
9,1
7,0
9,0
0,1
0,1
0,1
0,1
9,0
0,1
9,0
9,0
0,1
9,0
0,1
0,1
0,1
0,1
5,1
9,0
0,1
9,0
0,1
0,1
6,1
0,1
9,0
9,0
0,1
0,1
9,1
0,1
9,0
9,0
0,1
0,0
9,0
0,1
9,0
0,1
0,1
9,0
9,0
7,0
0,1
9,0
9,0
0,1
0,1
7,0
0,1
9,0
0,1
9,0
0,1
9,0
9,0
6,0
